nbit,model,n_bags,mean_train_accuracy,sd_train_accuracy,mean_test_accuracy,sd_test_accuracy
6,BaggingClassifier,5,0.8346405228758171,0.04103097023717518,0.07692307692307691,0.05617667256463243
6,RandomForestClassifier,5,0.8398692810457518,0.037914130751041,0.04615384615384614,0.058245213803079725
6,ExtraTreesClassifier,5,1.0,0.0,0.005128205128205128,0.019187986598840728
6,EvoBagging,5,0.8895424836601309,0.022346824833044114,0.06666666666666668,0.05523245956035389
6,BaggingClassifier,10,0.9084967320261439,0.03662464242123373,0.0641025641025641,0.05646850139883395
6,RandomForestClassifier,10,0.8941176470588237,0.033429312032795866,0.03846153846153846,0.038461538461538464
6,ExtraTreesClassifier,10,1.0,0.0,0.015384615384615385,0.03076923076923077
6,EvoBagging,10,0.9470588235294117,0.02328302370007436,0.07692307692307693,0.0595843591724218
6,BaggingClassifier,15,0.9509803921568628,0.03069112910293829,0.04358974358974359,0.047349193109280485
6,RandomForestClassifier,15,0.9405228758169935,0.026053766572542165,0.025641025641025644,0.04134491152973615
6,ExtraTreesClassifier,15,1.0,0.0,0.002564102564102564,0.013808114890088471
6,EvoBagging,15,0.9856209150326798,0.013330769970177214,0.05128205128205128,0.05378506913693084
6,BaggingClassifier,20,0.9647058823529413,0.02342022597015543,0.04615384615384615,0.05102499677469846
6,RandomForestClassifier,20,0.9620915032679739,0.03076758770180345,0.02564102564102564,0.04134491152973615
6,ExtraTreesClassifier,20,1.0,0.0,0.010256410256410256,0.026148818018424544
6,EvoBagging,20,0.9941176470588236,0.010313551528143472,0.05128205128205128,0.041344911529736156
6,BaggingClassifier,25,0.9738562091503269,0.021077798034767444,0.051282051282051294,0.04998356074261007
6,RandomForestClassifier,25,0.977124183006536,0.019662233930054014,0.02564102564102564,0.03626188621469475
6,ExtraTreesClassifier,25,1.0,0.0,0.0,0.0
6,EvoBagging,25,0.9986928104575163,0.007039431120437254,0.02564102564102564,0.041344911529736156
6,BaggingClassifier,30,0.9869281045751634,0.018486451795726746,0.01794871794871795,0.03811812499312438
6,RandomForestClassifier,30,0.9823529411764707,0.0177917092664264,0.020512820512820513,0.039390491014710816
6,ExtraTreesClassifier,30,1.0,0.0,0.0,0.0
6,EvoBagging,30,1.0,0.0,0.04615384615384615,0.05824521380307973
6,BaggingClassifier,35,0.9934640522875817,0.011691858705881257,0.028205128205128202,0.04205440888937621
6,RandomForestClassifier,35,0.9901960784313726,0.012139984066017464,0.010256410256410256,0.026148818018424544
6,ExtraTreesClassifier,35,1.0,0.0,0.0,0.0
6,EvoBagging,35,1.0,0.0,0.04358974358974359,0.047349193109280485
6,BaggingClassifier,40,0.9934640522875817,0.010538899017383738,0.035897435897435895,0.03837597319768145
6,RandomForestClassifier,40,0.9934640522875817,0.012740907640273167,0.020512820512820513,0.03401666451646564
6,ExtraTreesClassifier,40,1.0,0.0,0.002564102564102564,0.013808114890088471
6,EvoBagging,40,0.9993464052287582,0.003519715560218637,0.04102564102564102,0.047557017925619
6,BaggingClassifier,45,0.9980392156862745,0.005882352941176483,0.01794871794871795,0.03253481420628082
6,RandomForestClassifier,45,0.9967320261437909,0.007307411691175799,0.007692307692307693,0.023076923076923078
6,ExtraTreesClassifier,45,1.0,0.0,0.0,0.0
6,EvoBagging,45,1.0,0.0,0.02820512820512821,0.04650860806978732
6,BaggingClassifier,50,0.9954248366013072,0.009716384802168965,0.02564102564102564,0.04134491152973615
6,RandomForestClassifier,50,0.9967320261437909,0.008889850005709441,0.005128205128205128,0.019187986598840728
6,ExtraTreesClassifier,50,1.0,0.0,0.0,0.0
6,EvoBagging,50,1.0,0.0,0.03846153846153846,0.0516015687115336
6,BaggingClassifier,55,0.9986928104575163,0.004891055407547646,0.007692307692307693,0.023076923076923085
6,RandomForestClassifier,55,0.9967320261437909,0.007307411691175799,0.010256410256410256,0.02614881801842454
6,ExtraTreesClassifier,55,1.0,0.0,0.0,0.0
6,EvoBagging,55,1.0,0.0,0.01794871794871795,0.03253481420628082
6,BaggingClassifier,60,0.9980392156862745,0.005882352941176482,0.015384615384615385,0.03076923076923077
6,RandomForestClassifier,60,0.9973856209150327,0.0066653849850886225,0.005128205128205128,0.019187986598840728
6,ExtraTreesClassifier,60,1.0,0.0,0.0,0.0
6,EvoBagging,60,1.0,0.0,0.04358974358974359,0.055053616804061255
6,BaggingClassifier,65,0.9986928104575163,0.004891055407547646,0.005128205128205128,0.019187986598840724
6,RandomForestClassifier,65,0.9973856209150327,0.008370097042395882,0.0,0.0
6,ExtraTreesClassifier,65,1.0,0.0,0.0,0.0
6,EvoBagging,65,1.0,0.0,0.015384615384615385,0.03076923076923077
6,BaggingClassifier,70,1.0,0.0,0.007692307692307693,0.02307692307692308
6,RandomForestClassifier,70,0.9993464052287582,0.003519715560218637,0.0,0.0
6,ExtraTreesClassifier,70,1.0,0.0,0.0,0.0
6,EvoBagging,70,1.0,0.0,0.048717948717948725,0.04650860806978732
6,BaggingClassifier,75,1.0,0.0,0.005128205128205128,0.01918798659884073
6,RandomForestClassifier,75,1.0,0.0,0.002564102564102564,0.013808114890088471
6,ExtraTreesClassifier,75,1.0,0.0,0.0,0.0
6,EvoBagging,75,1.0,0.0,0.03846153846153846,0.04328703337470291
6,BaggingClassifier,80,1.0,0.0,0.010256410256410256,0.026148818018424544
6,RandomForestClassifier,80,0.9993464052287582,0.0035197155602186376,0.005128205128205128,0.01918798659884073
6,ExtraTreesClassifier,80,1.0,0.0,0.0,0.0
6,EvoBagging,80,1.0,0.0,0.041025641025641026,0.04321102447782748
6,BaggingClassifier,85,1.0,0.0,0.007692307692307693,0.02307692307692308
6,RandomForestClassifier,85,1.0,0.0,0.0,0.0
6,ExtraTreesClassifier,85,1.0,0.0,0.0,0.0
6,EvoBagging,85,1.0,0.0,0.007692307692307693,0.023076923076923085
6,BaggingClassifier,90,1.0,0.0,0.005128205128205128,0.01918798659884073
6,RandomForestClassifier,90,0.9986928104575163,0.004891055407547646,0.0,0.0
6,ExtraTreesClassifier,90,1.0,0.0,0.0,0.0
6,EvoBagging,90,1.0,0.0,0.023076923076923075,0.035250582268891065
6,BaggingClassifier,95,1.0,0.0,0.005128205128205128,0.019187986598840724
6,RandomForestClassifier,95,1.0,0.0,0.002564102564102564,0.013808114890088471
6,ExtraTreesClassifier,95,1.0,0.0,0.0,0.0
6,EvoBagging,95,1.0,0.0,0.023076923076923075,0.03525058226889107
8,BaggingClassifier,5,0.8348039215686274,0.0185218022207215,0.05448717948717949,0.025359026211349337
8,RandomForestClassifier,5,0.8277777777777778,0.02198547476020151,0.05192307692307693,0.026344516138505792
8,ExtraTreesClassifier,5,1.0,0.0,0.008974358974358972,0.010802756119456868
8,EvoBagging,5,0.8483660130718954,0.010199010806749812,0.06474358974358975,0.026500034113582545
8,BaggingClassifier,10,0.8999999999999999,0.01779170926642641,0.030128205128205136,0.016972054224197085
8,RandomForestClassifier,10,0.8887254901960786,0.015612058911055448,0.025641025641025647,0.015961409741011196
8,ExtraTreesClassifier,10,1.0,0.0,0.002564102564102564,0.006537204504606136
8,EvoBagging,10,0.911437908496732,0.013210054203534462,0.032692307692307694,0.02115384615384616
8,BaggingClassifier,15,0.9493464052287581,0.013884082213233994,0.017948717948717947,0.016418267275468846
8,RandomForestClassifier,15,0.9416666666666667,0.014113902008713704,0.015384615384615384,0.01522351549620246
8,ExtraTreesClassifier,15,1.0,0.0,0.001282051282051282,0.004796996649710181
8,EvoBagging,15,0.9566993464052286,0.008307662626722995,0.02628205128205129,0.016076841287159555
8,BaggingClassifier,20,0.9580065359477123,0.01373035239120635,0.015384615384615384,0.013507248401093257
8,RandomForestClassifier,20,0.9586601307189541,0.015065501254064714,0.008333333333333333,0.01183729827732012
8,ExtraTreesClassifier,20,1.0,0.0,0.001282051282051282,0.004796996649710181
8,EvoBagging,20,0.972875816993464,0.007565906472411914,0.01666666666666667,0.014673747618281534
8,BaggingClassifier,25,0.9763071895424836,0.011039997340920838,0.010256410256410256,0.014673747618281536
8,RandomForestClassifier,25,0.9781045751633987,0.009363757373787198,0.005769230769230769,0.01011521399875609
8,ExtraTreesClassifier,25,1.0,0.0,0.0,0.0
8,EvoBagging,25,0.9841503267973856,0.007345675422545448,0.01282051282051282,0.012495890185652517
8,BaggingClassifier,30,0.9828431372549019,0.008371691802254593,0.010897435897435897,0.011837298277320121
8,RandomForestClassifier,30,0.9810457516339869,0.009616953574877244,0.005769230769230769,0.01011521399875609
8,ExtraTreesClassifier,30,1.0,0.0,0.0,0.0
8,EvoBagging,30,0.9921568627450982,0.004999038738816446,0.010897435897435897,0.016229472950220723
8,BaggingClassifier,35,0.9911764705882352,0.005855056492538861,0.012179487179487181,0.013583089807959674
8,RandomForestClassifier,35,0.98921568627451,0.008713916095407451,0.002564102564102564,0.006537204504606136
8,ExtraTreesClassifier,35,1.0,0.0,0.0,0.0
8,EvoBagging,35,0.9955882352941178,0.00292752824626942,0.014743589743589745,0.014631682321170932
8,BaggingClassifier,40,0.9934640522875817,0.0055651589431132,0.009615384615384616,0.0129003921778834
8,RandomForestClassifier,40,0.9941176470588236,0.0051256167128621265,0.002564102564102564,0.006537204504606136
8,ExtraTreesClassifier,40,1.0,0.0,0.0,0.0
8,EvoBagging,40,0.9986928104575163,0.0021677286211473122,0.009615384615384616,0.01190652283397866
8,BaggingClassifier,45,0.9967320261437909,0.0034274798959808743,0.005128205128205128,0.011028622137234137
8,RandomForestClassifier,45,0.9955882352941178,0.005271982289183547,0.002564102564102564,0.006537204504606136
8,ExtraTreesClassifier,45,1.0,0.0,0.0,0.0
8,EvoBagging,45,0.9998366013071895,0.0008799288900546543,0.010256410256410255,0.01080275611945687
8,BaggingClassifier,50,0.9959150326797385,0.005231310651497418,0.005769230769230769,0.008812645567222766
8,RandomForestClassifier,50,0.9977124183006537,0.003284273078797665,0.000641025641025641,0.003452028722522118
8,ExtraTreesClassifier,50,1.0,0.0,0.0,0.0
8,EvoBagging,50,1.0,0.0,0.007051282051282052,0.009267200188974973
8,BaggingClassifier,55,0.9980392156862745,0.002714582961737923,0.010897435897435895,0.010745547829641162
8,RandomForestClassifier,55,0.9975490196078433,0.0030349960165043537,0.001282051282051282,0.004796996649710182
8,ExtraTreesClassifier,55,1.0,0.0,0.0,0.0
8,EvoBagging,55,1.0,0.0,0.007051282051282052,0.010513602222344053
8,BaggingClassifier,60,0.9986928104575165,0.0030830003699531274,0.005128205128205128,0.00850416612911641
8,RandomForestClassifier,60,0.9978758169934641,0.003938552546795394,0.000641025641025641,0.003452028722522118
8,ExtraTreesClassifier,60,1.0,0.0,0.0,0.0
8,EvoBagging,60,1.0,0.0,0.01217948717948718,0.01162715201744683
8,BaggingClassifier,65,0.9995098039215686,0.0014705882352941122,0.008333333333333333,0.01183729827732012
8,RandomForestClassifier,65,0.9991830065359477,0.002222462501427351,0.001282051282051282,0.004796996649710182
8,ExtraTreesClassifier,65,1.0,0.0,0.0,0.0
8,EvoBagging,65,1.0,0.0,0.009615384615384614,0.01190652283397866
8,BaggingClassifier,70,0.9986928104575163,0.0021677286211473122,0.006410256410256411,0.010336227882434037
8,RandomForestClassifier,70,0.9993464052287582,0.0016663462462721463,0.000641025641025641,0.003452028722522118
8,ExtraTreesClassifier,70,1.0,0.0,0.0,0.0
8,EvoBagging,70,1.0,0.0,0.009615384615384614,0.010821758343675728
8,BaggingClassifier,75,0.9998366013071895,0.0008799288900546543,0.007692307692307692,0.011750194089630359
8,RandomForestClassifier,75,0.9991830065359477,0.0018268529227939393,0.000641025641025641,0.003452028722522118
8,ExtraTreesClassifier,75,1.0,0.0,0.0,0.0
8,EvoBagging,75,1.0,0.0,0.00641025641025641,0.010336227882434037
8,BaggingClassifier,80,0.9996732026143792,0.0012227638518869045,0.0032051282051282055,0.007166884543268557
8,RandomForestClassifier,80,0.9996732026143792,0.0012227638518869047,0.0,0.0
8,ExtraTreesClassifier,80,1.0,0.0,0.0,0.0
8,EvoBagging,80,1.0,0.0,0.009615384615384614,0.012900392177883399
8,BaggingClassifier,85,0.9995098039215686,0.0019402519750061885,0.004487179487179488,0.008133703551570205
8,RandomForestClassifier,85,0.9996732026143792,0.0012227638518869047,0.000641025641025641,0.003452028722522118
8,ExtraTreesClassifier,85,1.0,0.0,0.0,0.0
8,EvoBagging,85,1.0,0.0,0.00641025641025641,0.009065471553673687
8,BaggingClassifier,90,0.9996732026143792,0.0012227638518869047,0.004487179487179488,0.009529531248281094
8,RandomForestClassifier,90,0.9998366013071895,0.0008799288900546543,0.0,0.0
8,ExtraTreesClassifier,90,1.0,0.0,0.0,0.0
8,EvoBagging,90,1.0,0.0,0.010897435897435897,0.011837298277320121
8,BaggingClassifier,95,0.9996732026143792,0.0012227638518869047,0.0038461538461538464,0.009155677472490834
8,RandomForestClassifier,95,0.9998366013071895,0.0008799288900546543,0.000641025641025641,0.003452028722522118
8,ExtraTreesClassifier,95,1.0,0.0,0.0,0.0
8,EvoBagging,95,1.0,0.0,0.010897435897435895,0.011837298277320121
